Extension,Parent Format,Name,Coverage Level,Specification Link,Notes
xlsm_e4m,xlsm,Microsoft Office Excel Binary with Excel4.0Macros,Metadata 1,,
xlsx,zip,Microsoft Office Open XML Macro-Enabled Addin,Identification,,
xltm,zip,Microsoft Office Open XML Macro-Enabled Spreadsheet with Excel4.0Macros,Identification,,
xltx,zip,Microsoft Office Open XML Spreadsheet,Identification,,
xml,,XML,Identification,,
xpi,zip,Cross Platform Installer,Identification,,
xps,zip,Microsoft Office Open XML Spreadsheet Template,Identification,,
xpt,zip,eXact Packager Models,None,,
xz,,XZ Compressed File,Identification,,
zip,,Zip Archive,Metadata 1,,
